Sorting Method,Ascending: 1,Descending: 2,Constant: 3,Random: 4,Sequence,Time
Tim,4,0,0,0,1,0.000028
Quad,4,0,0,0,1,0.000018
Tim,0,4,0,0,2,0.000058
Quad,0,4,0,0,2,0.000097
Tim,0,0,4,0,3,0.000046
Quad,0,0,4,0,3,0.000047
Tim,0,0,0,4,4,0.000684
Quad,0,0,0,4,4,0.000316
,,,,,,
,,,,,,
Tim,3,0,0,1,14,0.000203
Quad,3,0,0,1,14,0.000108
Tim,3,0,0,1,41,0.000191
Quad,3,0,0,1,41,0.000088
,,,,,,
,,,,,,
Tim,3,0,1,0,13,0.000049
Quad,3,0,1,0,13,0.000053
Tim,3,0,1,0,31,0.000019
Quad,3,0,1,0,31,0.000018
,,,,,,
,,,,,,
Tim,3,1,0,0,12,0.000057
Quad,3,1,0,0,12,0.000058
Tim,3,1,0,0,21,0.000032
Quad,3,1,0,0,21,0.000044
,,,,,,
,,,,,,
Tim,2,0,0,2,14,0.000373
Quad,2,0,0,2,14,0.000166
Tim,2,0,0,2,41,0.000333
Quad,2,0,0,2,41,0.000163
,,,,,,
,,,,,,
Tim,2,0,2,0,13,0.000042
Quad,2,0,2,0,13,0.000038
Tim,2,0,2,0,31,0.000017
Quad,2,0,2,0,31,0.000018
,,,,,,
,,,,,,
Tim,2,2,0,0,12,0.000066
Quad,2,2,0,0,12,0.000071
Tim,2,2,0,0,21,0.000052
Quad,2,2,0,0,21,0.000080
,,,,,,
,,,,,,
Tim,2,0,1,1,134,0.000193
Quad,2,0,1,1,134,0.000112
Tim,2,0,1,1,143,0.000209
Quad,2,0,1,1,143,0.000109
Tim,2,0,1,1,314,0.000197
Quad,2,0,1,1,314,0.000127
Tim,2,0,1,1,341,0.000199
Quad,2,0,1,1,341,0.000107
Tim,2,0,1,1,413,0.000192
Quad,2,0,1,1,413,0.000115
Tim,2,0,1,1,431,0.000199
Quad,2,0,1,1,431,0.000081
,,,,,,
,,,,,,
Tim,2,1,0,1,124,0.000199
Quad,2,1,0,1,124,0.000118
Tim,2,1,0,1,142,0.000208
Quad,2,1,0,1,142,0.000121
Tim,2,1,0,1,214,0.000213
Quad,2,1,0,1,214,0.000129
Tim,2,1,0,1,241,0.000207
Quad,2,1,0,1,241,0.000122
Tim,2,1,0,1,412,0.000221
Quad,2,1,0,1,412,0.000124
Tim,2,1,0,1,421,0.000215
Quad,2,1,0,1,421,0.000114
,,,,,,
,,,,,,
Tim,2,1,1,0,123,0.000058
Quad,2,1,1,0,123,0.000068
Tim,2,1,1,0,132,0.000061
Quad,2,1,1,0,132,0.000075
Tim,2,1,1,0,213,0.000061
Quad,2,1,1,0,213,0.000078
Tim,2,1,1,0,231,0.000042
Quad,2,1,1,0,231,0.000063
Tim,2,1,1,0,312,0.000049
Quad,2,1,1,0,312,0.000075
Tim,2,1,1,0,321,0.000053
Quad,2,1,1,0,321,0.000069
,,,,,,
,,,,,,
Tim,0,3,0,1,24,0.000189
Quad,0,3,0,1,24,0.000148
Tim,0,3,0,1,42,0.000306
Quad,0,3,0,1,42,0.000141
,,,,,,
,,,,,,
Tim,0,3,1,0,23,0.000060
Quad,0,3,1,0,23,0.000099
Tim,0,3,1,0,32,0.000076
Quad,0,3,1,0,32,0.000091
,,,,,,
,,,,,,
Tim,1,3,0,0,12,0.000078
Quad,1,3,0,0,12,0.000098
Tim,1,3,0,0,21,0.000049
Quad,1,3,0,0,21,0.000098
,,,,,,
,,,,,,
Tim,0,2,0,2,24,0.000362
Quad,0,2,0,2,24,0.000206
Tim,0,2,0,2,42,0.000436
Quad,0,2,0,2,42,0.000204
,,,,,,
,,,,,,
Tim,0,2,2,0,23,0.000061
Quad,0,2,2,0,23,0.000086
Tim,0,2,2,0,32,0.000063
Quad,0,2,2,0,32,0.000074
,,,,,,
,,,,,,
Tim,0,2,1,1,234,0.000201
Quad,0,2,1,1,234,0.000142
Tim,0,2,1,1,243,0.000213
Quad,0,2,1,1,243,0.000145
Tim,0,2,1,1,324,0.000224
Quad,0,2,1,1,324,0.000153
Tim,0,2,1,1,342,0.000241
Quad,0,2,1,1,342,0.000153
Tim,0,2,1,1,423,0.000272
Quad,0,2,1,1,423,0.000146
Tim,0,2,1,1,432,0.000203
Quad,0,2,1,1,432,0.000144
,,,,,,
,,,,,,
Tim,1,2,0,1,124,0.000220
Quad,1,2,0,1,124,0.000149
Tim,1,2,0,1,142,0.000226
Quad,1,2,0,1,142,0.000141
Tim,1,2,0,1,214,0.000210
Quad,1,2,0,1,214,0.000144
Tim,1,2,0,1,241,0.000204
Quad,1,2,0,1,241,0.000148
Tim,1,2,0,1,412,0.000214
Quad,1,2,0,1,412,0.000140
Tim,1,2,0,1,421,0.000273
Quad,1,2,0,1,421,0.000139
,,,,,,
,,,,,,
Tim,1,2,1,0,123,0.000057
Quad,1,2,1,0,123,0.000083
Tim,1,2,1,0,132,0.000076
Quad,1,2,1,0,132,0.000097
Tim,1,2,1,0,213,0.000054
Quad,1,2,1,0,213,0.000088
Tim,1,2,1,0,231,0.000050
Quad,1,2,1,0,231,0.000089
Tim,1,2,1,0,312,0.000057
Quad,1,2,1,0,312,0.000099
Tim,1,2,1,0,321,0.000064
Quad,1,2,1,0,321,0.000100
,,,,,,
,,,,,,
Tim,0,0,3,1,34,0.000155
Quad,0,0,3,1,34,0.000079
Tim,0,0,3,1,43,0.000216
Quad,0,0,3,1,43,0.000106
,,,,,,
,,,,,,
Tim,0,1,3,0,23,0.000051
Quad,0,1,3,0,23,0.000064
Tim,0,1,3,0,32,0.000047
Quad,0,1,3,0,32,0.000067
,,,,,,
,,,,,,
Tim,1,0,3,0,13,0.000050
Quad,1,0,3,0,13,0.000049
Tim,1,0,3,0,31,0.000017
Quad,1,0,3,0,31,0.000018
,,,,,,
,,,,,,
Tim,0,0,2,2,34,0.000325
Quad,0,0,2,2,34,0.000149
Tim,0,0,2,2,43,0.000344
Quad,0,0,2,2,43,0.000147
,,,,,,
,,,,,,
Tim,0,1,2,1,234,0.000213
Quad,0,1,2,1,234,0.000136
Tim,0,1,2,1,243,0.000183
Quad,0,1,2,1,243,0.000119
Tim,0,1,2,1,324,0.000202
Quad,0,1,2,1,324,0.000132
Tim,0,1,2,1,342,0.000202
Quad,0,1,2,1,342,0.000128
Tim,0,1,2,1,423,0.000233
Quad,0,1,2,1,423,0.000122
Tim,0,1,2,1,432,0.000195
Quad,0,1,2,1,432,0.000134
,,,,,,
,,,,,,
Tim,1,0,2,1,134,0.000212
Quad,1,0,2,1,134,0.000120
Tim,1,0,2,1,143,0.000200
Quad,1,0,2,1,143,0.000105
Tim,1,0,2,1,314,0.000170
Quad,1,0,2,1,314,0.000109
Tim,1,0,2,1,341,0.000184
Quad,1,0,2,1,341,0.000100
Tim,1,0,2,1,413,0.000189
Quad,1,0,2,1,413,0.000106
Tim,1,0,2,1,431,0.000173
Quad,1,0,2,1,431,0.000113
,,,,,,
,,,,,,
Tim,1,1,2,0,123,0.000071
Quad,1,1,2,0,123,0.000064
Tim,1,1,2,0,132,0.000072
Quad,1,1,2,0,132,0.000093
Tim,1,1,2,0,213,0.000067
Quad,1,1,2,0,213,0.000064
Tim,1,1,2,0,231,0.000044
Quad,1,1,2,0,231,0.000062
Tim,1,1,2,0,312,0.000047
Quad,1,1,2,0,312,0.000072
Tim,1,1,2,0,321,0.000057
Quad,1,1,2,0,321,0.000067
,,,,,,
,,,,,,
Tim,0,0,1,3,34,0.000516
Quad,0,0,1,3,34,0.000257
Tim,0,0,1,3,43,0.000504
Quad,0,0,1,3,43,0.000241
,,,,,,
,,,,,,
Tim,0,1,0,3,24,0.000495
Quad,0,1,0,3,24,0.000259
Tim,0,1,0,3,42,0.000566
Quad,0,1,0,3,42,0.000252
,,,,,,
,,,,,,
Tim,1,0,0,3,14,0.000530
Quad,1,0,0,3,14,0.000237
Tim,1,0,0,3,41,0.000506
Quad,1,0,0,3,41,0.000239
,,,,,,
,,,,,,
Tim,0,1,1,2,234,0.000336
Quad,0,1,1,2,234,0.000193
Tim,0,1,1,2,243,0.000358
Quad,0,1,1,2,243,0.000195
Tim,0,1,1,2,324,0.000375
Quad,0,1,1,2,324,0.000206
Tim,0,1,1,2,342,0.000377
Quad,0,1,1,2,342,0.000212
Tim,0,1,1,2,423,0.000376
Quad,0,1,1,2,423,0.000193
Tim,0,1,1,2,432,0.000412
Quad,0,1,1,2,432,0.000203
,,,,,,
,,,,,,
Tim,1,0,1,2,134,0.000347
Quad,1,0,1,2,134,0.000187
Tim,1,0,1,2,143,0.000375
Quad,1,0,1,2,143,0.000184
Tim,1,0,1,2,314,0.000342
Quad,1,0,1,2,314,0.000189
Tim,1,0,1,2,341,0.000355
Quad,1,0,1,2,341,0.000184
Tim,1,0,1,2,413,0.000365
Quad,1,0,1,2,413,0.000180
Tim,1,0,1,2,431,0.000386
Quad,1,0,1,2,431,0.000184
,,,,,,
,,,,,,
Tim,1,1,0,2,124,0.000362
Quad,1,1,0,2,124,0.000198
Tim,1,1,0,2,142,0.000379
Quad,1,1,0,2,142,0.000194
Tim,1,1,0,2,214,0.000365
Quad,1,1,0,2,214,0.000193
Tim,1,1,0,2,241,0.000373
Quad,1,1,0,2,241,0.000200
Tim,1,1,0,2,412,0.000365
Quad,1,1,0,2,412,0.000194
Tim,1,1,0,2,421,0.000372
Quad,1,1,0,2,421,0.000195
,,,,,,
,,,,,,
Tim,1,1,1,1,1234,0.000213
Quad,1,1,1,1,1234,0.000144
Tim,1,1,1,1,1324,0.000214
Quad,1,1,1,1,1324,0.000142
Tim,1,1,1,1,1342,0.000223
Quad,1,1,1,1,1342,0.000143
Tim,1,1,1,1,1423,0.000221
Quad,1,1,1,1,1423,0.000134
Tim,1,1,1,1,1432,0.000227
Quad,1,1,1,1,1432,0.000142
Tim,1,1,1,1,2134,0.000201
Quad,1,1,1,1,2134,0.000130
Tim,1,1,1,1,2143,0.000202
Quad,1,1,1,1,2143,0.000129
Tim,1,1,1,1,2314,0.000206
Quad,1,1,1,1,2314,0.000143
Tim,1,1,1,1,2341,0.000211
Quad,1,1,1,1,2341,0.000135
Tim,1,1,1,1,2413,0.000209
Quad,1,1,1,1,2413,0.000137
Tim,1,1,1,1,2431,0.000220
Quad,1,1,1,1,2431,0.000138
Tim,1,1,1,1,3124,0.000220
Quad,1,1,1,1,3124,0.000152
Tim,1,1,1,1,3142,0.000209
Quad,1,1,1,1,3142,0.000156
Tim,1,1,1,1,3214,0.000213
Quad,1,1,1,1,3214,0.000152
Tim,1,1,1,1,3241,0.000222
Quad,1,1,1,1,3241,0.000144
Tim,1,1,1,1,3412,0.000219
Quad,1,1,1,1,3412,0.000146
Tim,1,1,1,1,3421,0.000209
Quad,1,1,1,1,3421,0.000138
Tim,1,1,1,1,4123,0.000202
Quad,1,1,1,1,4123,0.000138
Tim,1,1,1,1,4132,0.000216
Quad,1,1,1,1,4132,0.000145
Tim,1,1,1,1,4213,0.000236
Quad,1,1,1,1,4213,0.000136
Tim,1,1,1,1,4231,0.000230
Quad,1,1,1,1,4231,0.000139
Tim,1,1,1,1,4312,0.000248
Quad,1,1,1,1,4312,0.000150
Tim,1,1,1,1,4321,0.000245
Quad,1,1,1,1,4321,0.000136
